"No.canton"	"Canton"	"No.commune"	"Participation"	"Yes"	"Yes.in.perc"	"Name.of.commune"	"Residents"	"Population.density.per.km.sq"	"Foreign.nationals.rate"	"Pop.0.19.years"	"Pop.20.64.years"	"Pop.65.years.or.over"	"Crude.marriage.rate"	"Crude.divorce.rate"	"Crude.birth.rate"	"Crude.mortality.rate"	"Private.households"	"Size.of.households.in.persons"	"Total.surface.area.in.km.sq"	"Settlement.and.urban.area.in.perc"	"Agricultural.area.in.perc"	"Wooded.area.in.perc"	"Unproductive.area.in.perc"	"Primary.sector.emp"	"Secondary.sector.emp"	"Tertiary.sector.emp"	"Primary.sector.establ"	"Secondary.sector.establ"	"Tertiary.sector.establ"	"Dwelling.vacancy.rate"	"Social.assistance.rate"	"FDP.PLR"	"CVP"	"SP"	"SVP"	"EVP.CSP"	"GLP"	"BDP"	"PdA.Sol."	"GPS"	"Small.right.wing.parties"	"Other.parties"	"under.the.Swiss.Criminal.Code"	"under.the.Narcotics.Act..NarcA."	"under.the.Foreign.Nationals.Act..FNA."	"Language"
"1"	1	"Zürich"	1	62.4	227	26.2	"Aeugst am Albis"	7.58018941794454	5.51342874616498	13.3	21.5	62.6	15.9	4.6	1.5	9.7	7.6	6.67959918584438	2.4	2.06686275947298	12.6	51.3	30.9	5.2	0.0188871873404798	0.00765696784073507	0.191934660541092	15	2.56494935746154	4.74493212836325	2.05	0.6	18.7	2.1	18.6	30.9	3.5	8.4	2.6	0.2	7.1	4.9	3	0.0181214905564063	0.00178662582950485	0	"D"
"2"	1	"Zürich"	2	54.5	1077	27.7	"Affoltern am Albis"	9.35461386113261	6.99484998583307	26.7	20.2	63	16.9	5.1	2.6	10.8	6.1	8.48920515487607	2.3	2.36085400111802	30.8	40.1	28.2	0.9	0.00467451523545706	0.107081024930748	0.421485457063712	25	4.85203026391962	6.63068338564237	0.82	2.9	14.2	4.6	19.1	33.8	5.5	7.4	4.2	0.2	6.2	1.8	3.2	0.00554016620498615	0.000874307479224377	0.000398199445983379	"D"
"3"	1	"Zürich"	3	63.9	572	24.7	"Bonstetten"	8.57300625623545	6.56807791141198	14.1	24.5	61.4	14.1	5.5	2.3	14.2	4	7.69757534680234	2.4	2.01490302054226	15.6	55.4	28.6	0.4	0.00794401361830906	0.0251560431246454	0.141668242859845	14	3.40119738166216	5.4249500174814	0.64	0.6	16.5	3.4	20.4	29.1	3.1	11.9	3.8	0.1	6.7	1.9	3.1	0.00506903726120673	0.000397200680915453	0.000113485908832987	"D"
"4"	1	"Zürich"	4	61.6	434	28.2	"Hausen am Albis"	8.15104494568502	5.54126354515843	13.6	22.8	60.4	16.8	3.2	2.6	9.6	4.9	7.25700270709207	2.4	2.61739583283408	12.6	55.8	29	2.6	0.0311508508797231	0.0389385635996539	0.202768964522642	41	3.55534806148941	5.19849703126583	0.94	1	12.8	2.9	19.4	34.9	2.6	8.7	4.7	0.2	8	1.8	4	0.00623017017594462	0.00167291606576291	0.000663397750216325	"D"
"5"	1	"Zürich"	5	64.4	390	24.2	"Hedingen"	8.20275638165564	6.3261494731551	14.8	22.5	63.4	14.1	3	3	8.6	4.7	7.3125534981026	2.4	1.87180217690159	19.9	46.2	33.2	0.6	0.00931251711859764	0.208983840043824	0.188441522870446	12	3.25809653802148	5.06890420222023	1.64	0.9	15.8	3.9	22.5	30.1	3.6	9.6	3.8	0.2	6.5	1.8	2.2	0.0060257463708573	0.000684743905779239	0	"D"
"6"	1	"Zürich"	6	59.7	131	31.1	"Kappel am Albis"	6.92165818415113	4.85203026391962	13.5	25.1	60.6	14.3	2	4.1	7.1	8.1	6.02586597382531	2.4	2.05412373369555	8.3	70	20.6	1.1	0.0542406311637081	0.0818540433925049	0.206114398422091	22	3.09104245335832	3.97029191355212	7.76	0.4	11	2.7	10.3	48.6	6.6	5.6	5.1	0.3	4.4	2.8	2.6	0.0309664694280079	0.00621301775147929	0	"D"
"7"	1	"Zürich"	7	59.1	261	30.2	"Knonau"	7.61923341622681	5.75257263882563	16.2	23	61.8	15.2	4	2	9.4	5.4	6.70073110954781	2.5	1.87180217690159	18	62.2	17.2	2.6	0.03240058910162	0.0505645557191949	0.161021109474718	26	2.89037175789616	4.38202663467388	0.45	0.6	11.5	3.1	18.4	32.9	6.2	10.4	5.9	0	5.8	3.4	2.3	0.0171330387825233	0.00196367206676485	0	"D"
"8"	1	"Zürich"	8	62	73	26	"Maschwanden"	6.49978704065585	4.95582705760126	14	23.9	60.5	15.6	6	1.5	9	6	5.58724865840025	2.5	1.54756250871601	9	59.6	23.7	7.7	0.075187969924812	0.0646616541353384	0.0827067669172932	20	2.07944154167984	3.43398720448515	1.67	0	4.9	3.5	22.7	43.4	3.7	4.9	3.5	0.6	5.2	2.1	5.5	0.0180451127819549	0	0	"D"
"9"	1	"Zürich"	9	64	549	25.9	"Mettmenstetten"	8.40581460343285	5.83773044716594	14.1	22.1	62.2	15.7	6.7	1.8	10.6	5.2	7.49331724886215	2.4	2.57261223020711	15.9	64.2	18.6	1.2	0.0339816677844847	0.131455399061033	0.17482673820702	47	4.00733318523247	5.26785815906333	1.2	1.2	13.2	3.6	18.8	35.7	3.5	9.6	4.4	0.1	5.1	3.6	2.5	0.00898725687458082	0.000961323496534764	0	"D"
"10"	1	"Zürich"	10	55.7	494	26.1	"Obfelden"	8.50248556254396	6.48157712927643	18.9	23.2	61.1	15.7	4.1	2	10.4	4.7	7.5999019592085	2.5	2.02814824729229	24.2	49.3	21.3	5.2	0.0131926121372032	0.0681956565861579	0.159935051755632	20	4.24849524204936	5.37527840768417	0.75	2.1	14.4	6.5	16.9	36.2	4.8	7.4	4.4	0.1	3.7	3	2.7	0.00641363913131723	0.000324741221838847	0.000202963263649279	"D"
